name,category,iconName,nodeId,assetPath,useTier,verification,notes
Standard Icons / P / partner_marketing_budget,Standard Icons,partner_marketing_budget,1518:27724,icon-assets/exported-svg/Standard Icons/P/partner_marketing_budget.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / partners,Standard Icons,partners,1518:27726,icon-assets/exported-svg/Standard Icons/P/partners.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / password,Standard Icons,password,1518:27728,icon-assets/exported-svg/Standard Icons/P/password.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / past_chat,Standard Icons,past_chat,1518:27730,icon-assets/exported-svg/Standard Icons/P/past_chat.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / people,Standard Icons,people,1518:27732,icon-assets/exported-svg/Standard Icons/P/people.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / performance,Standard Icons,performance,1518:27734,icon-assets/exported-svg/Standard Icons/P/performance.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / person_account,Standard Icons,person_account,1518:27736,icon-assets/exported-svg/Standard Icons/P/person_account.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / photo,Standard Icons,photo,1518:27738,icon-assets/exported-svg/Standard Icons/P/photo.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / picklist_choice,Standard Icons,picklist_choice,1518:27371,icon-assets/exported-svg/Standard Icons/P/picklist_choice.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / picklist_type,Standard Icons,picklist_type,1518:27373,icon-assets/exported-svg/Standard Icons/P/picklist_type.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / planogram,Standard Icons,planogram,1518:27740,icon-assets/exported-svg/Standard Icons/P/planogram.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / poll,Standard Icons,poll,1518:27742,icon-assets/exported-svg/Standard Icons/P/poll.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / portal,Standard Icons,portal,1518:27744,icon-assets/exported-svg/Standard Icons/P/portal.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / portal_roles,Standard Icons,portal_roles,1518:27377,icon-assets/exported-svg/Standard Icons/P/portal_roles.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / portal_roles_and_subordinates,Standard Icons,portal_roles_and_subordinates,1518:27375,icon-assets/exported-svg/Standard Icons/P/portal_roles_and_subordinates.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / post,Standard Icons,post,1518:27746,icon-assets/exported-svg/Standard Icons/P/post.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / pricebook,Standard Icons,pricebook,1518:27748,icon-assets/exported-svg/Standard Icons/P/pricebook.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / process,Standard Icons,process,1518:27750,icon-assets/exported-svg/Standard Icons/P/process.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product,Standard Icons,product,1518:27758,icon-assets/exported-svg/Standard Icons/P/product.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_consumed,Standard Icons,product_consumed,1518:27752,icon-assets/exported-svg/Standard Icons/P/product_consumed.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_item,Standard Icons,product_item,1518:27754,icon-assets/exported-svg/Standard Icons/P/product_item.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_item_transaction,Standard Icons,product_item_transaction,1518:27379,icon-assets/exported-svg/Standard Icons/P/product_item_transaction.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_request,Standard Icons,product_request,1518:27383,icon-assets/exported-svg/Standard Icons/P/product_request.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_request_line_item,Standard Icons,product_request_line_item,1518:27381,icon-assets/exported-svg/Standard Icons/P/product_request_line_item.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_required,Standard Icons,product_required,1518:27385,icon-assets/exported-svg/Standard Icons/P/product_required.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / product_transfer,Standard Icons,product_transfer,1518:27756,icon-assets/exported-svg/Standard Icons/P/product_transfer.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / P / proposition,Standard Icons,proposition,1518:27760,icon-assets/exported-svg/Standard Icons/P/proposition.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / question_best,Standard Icons,question_best,1518:27762,icon-assets/exported-svg/Standard Icons/Q/question_best.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / question_feed,Standard Icons,question_feed,1518:27764,icon-assets/exported-svg/Standard Icons/Q/question_feed.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / queue,Standard Icons,queue,1518:27766,icon-assets/exported-svg/Standard Icons/Q/queue.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / quick_text,Standard Icons,quick_text,1518:27387,icon-assets/exported-svg/Standard Icons/Q/quick_text.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / quip,Standard Icons,quip,1518:27770,icon-assets/exported-svg/Standard Icons/Q/quip.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / quip_sheet,Standard Icons,quip_sheet,1518:27768,icon-assets/exported-svg/Standard Icons/Q/quip_sheet.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / Q / quotes,Standard Icons,quotes,1518:27772,icon-assets/exported-svg/Standard Icons/Q/quotes.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / radio_button,Standard Icons,radio_button,1518:27774,icon-assets/exported-svg/Standard Icons/R/radio_button.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / read_receipts,Standard Icons,read_receipts,1518:27776,icon-assets/exported-svg/Standard Icons/R/read_receipts.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / recent,Standard Icons,recent,1518:27778,icon-assets/exported-svg/Standard Icons/R/recent.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / record,Standard Icons,record,1518:27389,icon-assets/exported-svg/Standard Icons/R/record.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / record_create,Standard Icons,record_create,1518:27780,icon-assets/exported-svg/Standard Icons/R/record_create.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / record_delete,Standard Icons,record_delete,1518:27782,icon-assets/exported-svg/Standard Icons/R/record_delete.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / record_lookup,Standard Icons,record_lookup,1518:27784,icon-assets/exported-svg/Standard Icons/R/record_lookup.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / record_update,Standard Icons,record_update,1518:27786,icon-assets/exported-svg/Standard Icons/R/record_update.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / recycle_bin,Standard Icons,recycle_bin,1518:27788,icon-assets/exported-svg/Standard Icons/R/recycle_bin.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / related_list,Standard Icons,related_list,1518:27391,icon-assets/exported-svg/Standard Icons/R/related_list.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / relationship,Standard Icons,relationship,1518:27790,icon-assets/exported-svg/Standard Icons/R/relationship.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / reply_text,Standard Icons,reply_text,1518:27974,icon-assets/exported-svg/Standard Icons/R/reply_text.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / report,Standard Icons,report,1518:27792,icon-assets/exported-svg/Standard Icons/R/report.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / resource_absence,Standard Icons,resource_absence,1518:27794,icon-assets/exported-svg/Standard Icons/R/resource_absence.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / resource_capacity,Standard Icons,resource_capacity,1518:27796,icon-assets/exported-svg/Standard Icons/R/resource_capacity.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / resource_preference,Standard Icons,resource_preference,1518:27798,icon-assets/exported-svg/Standard Icons/R/resource_preference.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / resource_skill,Standard Icons,resource_skill,1518:27800,icon-assets/exported-svg/Standard Icons/R/resource_skill.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / return_order,Standard Icons,return_order,1518:27395,icon-assets/exported-svg/Standard Icons/R/return_order.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / return_order_line_item,Standard Icons,return_order_line_item,1518:27393,icon-assets/exported-svg/Standard Icons/R/return_order_line_item.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / reward,Standard Icons,reward,1518:27802,icon-assets/exported-svg/Standard Icons/R/reward.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / R / rtc_presence,Standard Icons,rtc_presence,1518:27804,icon-assets/exported-svg/Standard Icons/R/rtc_presence.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sales_cadence,Standard Icons,sales_cadence,1518:27397,icon-assets/exported-svg/Standard Icons/S/sales_cadence.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sales_cadence_target,Standard Icons,sales_cadence_target,1518:27806,icon-assets/exported-svg/Standard Icons/S/sales_cadence_target.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sales_channel,Standard Icons,sales_channel,1518:27808,icon-assets/exported-svg/Standard Icons/S/sales_channel.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sales_path,Standard Icons,sales_path,1518:27399,icon-assets/exported-svg/Standard Icons/S/sales_path.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sales_value,Standard Icons,sales_value,1518:27810,icon-assets/exported-svg/Standard Icons/S/sales_value.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / salesforce_cms,Standard Icons,salesforce_cms,1518:27812,icon-assets/exported-svg/Standard Icons/S/salesforce_cms.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / scan_card,Standard Icons,scan_card,1518:27814,icon-assets/exported-svg/Standard Icons/S/scan_card.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / schedule_objective,Standard Icons,schedule_objective,1518:27972,icon-assets/exported-svg/Standard Icons/S/schedule_objective.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / scheduling_constraints,Standard Icons,scheduling_constraints,1518:27970,icon-assets/exported-svg/Standard Icons/S/scheduling_constraints.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / scheduling_policy,Standard Icons,scheduling_policy,1518:27968,icon-assets/exported-svg/Standard Icons/S/scheduling_policy.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / screen,Standard Icons,screen,1518:27816,icon-assets/exported-svg/Standard Icons/S/screen.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / search,Standard Icons,search,1518:27818,icon-assets/exported-svg/Standard Icons/S/search.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / segments,Standard Icons,segments,1518:27966,icon-assets/exported-svg/Standard Icons/S/segments.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_appointment,Standard Icons,service_appointment,1518:27822,icon-assets/exported-svg/Standard Icons/S/service_appointment.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_appointment_capacity_usage,Standard Icons,service_appointment_capacity_usage,1518:27820,icon-assets/exported-svg/Standard Icons/S/service_appointment_capacity_usage.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_contract,Standard Icons,service_contract,1518:27401,icon-assets/exported-svg/Standard Icons/S/service_contract.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_crew,Standard Icons,service_crew,1518:27826,icon-assets/exported-svg/Standard Icons/S/service_crew.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_crew_member,Standard Icons,service_crew_member,1518:27824,icon-assets/exported-svg/Standard Icons/S/service_crew_member.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_report,Standard Icons,service_report,1518:27828,icon-assets/exported-svg/Standard Icons/S/service_report.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_resource,Standard Icons,service_resource,1518:27830,icon-assets/exported-svg/Standard Icons/S/service_resource.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_territory,Standard Icons,service_territory,1518:27836,icon-assets/exported-svg/Standard Icons/S/service_territory.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_territory_location,Standard Icons,service_territory_location,1518:27832,icon-assets/exported-svg/Standard Icons/S/service_territory_location.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / service_territory_member,Standard Icons,service_territory_member,1518:27834,icon-assets/exported-svg/Standard Icons/S/service_territory_member.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / settings,Standard Icons,settings,1518:27838,icon-assets/exported-svg/Standard Icons/S/settings.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / shift,Standard Icons,shift,1518:27842,icon-assets/exported-svg/Standard Icons/S/shift.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / shift_preferences,Standard Icons,shift_preferences,1518:27964,icon-assets/exported-svg/Standard Icons/S/shift_preferences.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / shift_template,Standard Icons,shift_template,1518:27962,icon-assets/exported-svg/Standard Icons/S/shift_template.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / shift_type,Standard Icons,shift_type,1518:27840,icon-assets/exported-svg/Standard Icons/S/shift_type.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / shipment,Standard Icons,shipment,1518:27844,icon-assets/exported-svg/Standard Icons/S/shipment.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / skill,Standard Icons,skill,1518:27850,icon-assets/exported-svg/Standard Icons/S/skill.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / skill_entity,Standard Icons,skill_entity,1518:27846,icon-assets/exported-svg/Standard Icons/S/skill_entity.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / skill_requirement,Standard Icons,skill_requirement,1518:27848,icon-assets/exported-svg/Standard Icons/S/skill_requirement.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sms,Standard Icons,sms,1518:27852,icon-assets/exported-svg/Standard Icons/S/sms.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / snippet,Standard Icons,snippet,1518:27854,icon-assets/exported-svg/Standard Icons/S/snippet.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / snippets,Standard Icons,snippets,1518:27856,icon-assets/exported-svg/Standard Icons/S/snippets.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sobject,Standard Icons,sobject,1518:27860,icon-assets/exported-svg/Standard Icons/S/sobject.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sobject_collection,Standard Icons,sobject_collection,1518:27858,icon-assets/exported-svg/Standard Icons/S/sobject_collection.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / social,Standard Icons,social,1518:27862,icon-assets/exported-svg/Standard Icons/S/social.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / solution,Standard Icons,solution,1518:27864,icon-assets/exported-svg/Standard Icons/S/solution.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sort,Standard Icons,sort,1518:27866,icon-assets/exported-svg/Standard Icons/S/sort.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / sossession,Standard Icons,sossession,1518:27868,icon-assets/exported-svg/Standard Icons/S/sossession.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / stage,Standard Icons,stage,1518:27872,icon-assets/exported-svg/Standard Icons/S/stage.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / stage_collection,Standard Icons,stage_collection,1518:27870,icon-assets/exported-svg/Standard Icons/S/stage_collection.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / steps,Standard Icons,steps,1518:27874,icon-assets/exported-svg/Standard Icons/S/steps.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / store,Standard Icons,store,1518:27878,icon-assets/exported-svg/Standard Icons/S/store.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / store_group,Standard Icons,store_group,1518:27876,icon-assets/exported-svg/Standard Icons/S/store_group.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / story,Standard Icons,story,1518:27880,icon-assets/exported-svg/Standard Icons/S/story.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / strategy,Standard Icons,strategy,1518:27882,icon-assets/exported-svg/Standard Icons/S/strategy.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / survey,Standard Icons,survey,1518:27403,icon-assets/exported-svg/Standard Icons/S/survey.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / S / system_and_global_variable,Standard Icons,system_and_global_variable,1518:27884,icon-assets/exported-svg/Standard Icons/S/system_and_global_variable.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / task,Standard Icons,task,1518:27405,icon-assets/exported-svg/Standard Icons/T/task.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / task2,Standard Icons,task2,1518:27886,icon-assets/exported-svg/Standard Icons/T/task2.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / team_member,Standard Icons,team_member,1518:27888,icon-assets/exported-svg/Standard Icons/T/team_member.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / template,Standard Icons,template,1518:27407,icon-assets/exported-svg/Standard Icons/T/template.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / text,Standard Icons,text,1518:27890,icon-assets/exported-svg/Standard Icons/T/text.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / text_template,Standard Icons,text_template,1518:27409,icon-assets/exported-svg/Standard Icons/T/text_template.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / textarea,Standard Icons,textarea,1518:27411,icon-assets/exported-svg/Standard Icons/T/textarea.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / textbox,Standard Icons,textbox,1518:27413,icon-assets/exported-svg/Standard Icons/T/textbox.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / thanks,Standard Icons,thanks,1518:27894,icon-assets/exported-svg/Standard Icons/T/thanks.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / thanks_loading,Standard Icons,thanks_loading,1518:27892,icon-assets/exported-svg/Standard Icons/T/thanks_loading.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / timesheet,Standard Icons,timesheet,1518:27898,icon-assets/exported-svg/Standard Icons/T/timesheet.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / timesheet_entry,Standard Icons,timesheet_entry,1518:27896,icon-assets/exported-svg/Standard Icons/T/timesheet_entry.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / timeslot,Standard Icons,timeslot,1518:27900,icon-assets/exported-svg/Standard Icons/T/timeslot.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / today,Standard Icons,today,1518:27902,icon-assets/exported-svg/Standard Icons/T/today.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / topic,Standard Icons,topic,1518:27904,icon-assets/exported-svg/Standard Icons/T/topic.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / topic2,Standard Icons,topic2,1518:27906,icon-assets/exported-svg/Standard Icons/T/topic2.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / T / trailhead,Standard Icons,trailhead,1518:27908,icon-assets/exported-svg/Standard Icons/T/trailhead.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / U / unmatched,Standard Icons,unmatched,1518:27910,icon-assets/exported-svg/Standard Icons/U/unmatched.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / U / user,Standard Icons,user,1518:27914,icon-assets/exported-svg/Standard Icons/U/user.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / U / user_role,Standard Icons,user_role,1518:27912,icon-assets/exported-svg/Standard Icons/U/user_role.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / V / variable,Standard Icons,variable,1518:27916,icon-assets/exported-svg/Standard Icons/V/variable.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / V / visit_templates,Standard Icons,visit_templates,1518:27918,icon-assets/exported-svg/Standard Icons/V/visit_templates.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / V / visits,Standard Icons,visits,1518:27920,icon-assets/exported-svg/Standard Icons/V/visits.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / V / visualforce_page,Standard Icons,visualforce_page,1518:27922,icon-assets/exported-svg/Standard Icons/V/visualforce_page.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / V / voice_call,Standard Icons,voice_call,1518:27924,icon-assets/exported-svg/Standard Icons/V/voice_call.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / waits,Standard Icons,waits,1518:27926,icon-assets/exported-svg/Standard Icons/W/waits.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / webcart,Standard Icons,webcart,1518:28014,icon-assets/exported-svg/Standard Icons/W/webcart.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_capacity_limit,Standard Icons,work_capacity_limit,1518:27928,icon-assets/exported-svg/Standard Icons/W/work_capacity_limit.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_capacity_usage,Standard Icons,work_capacity_usage,1518:27930,icon-assets/exported-svg/Standard Icons/W/work_capacity_usage.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_contract,Standard Icons,work_contract,1518:27948,icon-assets/exported-svg/Standard Icons/W/work_contract.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_order,Standard Icons,work_order,1518:27934,icon-assets/exported-svg/Standard Icons/W/work_order.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_order_item,Standard Icons,work_order_item,1518:27932,icon-assets/exported-svg/Standard Icons/W/work_order_item.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_plan,Standard Icons,work_plan,1518:27944,icon-assets/exported-svg/Standard Icons/W/work_plan.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_plan_rule,Standard Icons,work_plan_rule,1518:27950,icon-assets/exported-svg/Standard Icons/W/work_plan_rule.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_plan_template,Standard Icons,work_plan_template,1518:27946,icon-assets/exported-svg/Standard Icons/W/work_plan_template.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_plan_template_entry,Standard Icons,work_plan_template_entry,1518:28016,icon-assets/exported-svg/Standard Icons/W/work_plan_template_entry.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_queue,Standard Icons,work_queue,1518:27415,icon-assets/exported-svg/Standard Icons/W/work_queue.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_step,Standard Icons,work_step,1518:27940,icon-assets/exported-svg/Standard Icons/W/work_step.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_step_template,Standard Icons,work_step_template,1518:27942,icon-assets/exported-svg/Standard Icons/W/work_step_template.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_type,Standard Icons,work_type,1518:27938,icon-assets/exported-svg/Standard Icons/W/work_type.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / W / work_type_group,Standard Icons,work_type_group,1518:27936,icon-assets/exported-svg/Standard Icons/W/work_type_group.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / ad_set,Utility Icons,ad_set,1518:28614,icon-assets/exported-svg/Utility Icons/A/ad_set.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / add,Utility Icons,add,1518:28618,icon-assets/exported-svg/Utility Icons/A/add.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / adduser,Utility Icons,adduser,1518:28620,icon-assets/exported-svg/Utility Icons/A/adduser.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / advanced_function,Utility Icons,advanced_function,1518:28622,icon-assets/exported-svg/Utility Icons/A/advanced_function.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / advertising,Utility Icons,advertising,1518:28624,icon-assets/exported-svg/Utility Icons/A/advertising.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / agent_session,Utility Icons,agent_session,1518:28626,icon-assets/exported-svg/Utility Icons/A/agent_session.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / alert,Utility Icons,alert,1518:28628,icon-assets/exported-svg/Utility Icons/A/alert.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / all,Utility Icons,all,1518:28630,icon-assets/exported-svg/Utility Icons/A/all.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / anchor,Utility Icons,anchor,1518:28632,icon-assets/exported-svg/Utility Icons/A/anchor.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / animal and nature,Utility Icons,animal and nature,1518:28634,icon-assets/exported-svg/Utility Icons/A/animal and nature.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / announcement,Utility Icons,announcement,1518:28636,icon-assets/exported-svg/Utility Icons/A/announcement.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / answer,Utility Icons,answer,1518:28638,icon-assets/exported-svg/Utility Icons/A/answer.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / answered_twice,Utility Icons,answered_twice,1518:28640,icon-assets/exported-svg/Utility Icons/A/answered_twice.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / apex,Utility Icons,apex,1518:28642,icon-assets/exported-svg/Utility Icons/A/apex.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / apex_plugin,Utility Icons,apex_plugin,1518:28644,icon-assets/exported-svg/Utility Icons/A/apex_plugin.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / approval,Utility Icons,approval,1518:28646,icon-assets/exported-svg/Utility Icons/A/approval.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / apps,Utility Icons,apps,1518:28648,icon-assets/exported-svg/Utility Icons/A/apps.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / archive,Utility Icons,archive,1518:28650,icon-assets/exported-svg/Utility Icons/A/archive.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / arrowdown,Utility Icons,arrowdown,1518:28652,icon-assets/exported-svg/Utility Icons/A/arrowdown.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / arrowup,Utility Icons,arrowup,1518:28654,icon-assets/exported-svg/Utility Icons/A/arrowup.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / assignment,Utility Icons,assignment,1518:28656,icon-assets/exported-svg/Utility Icons/A/assignment.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / attach,Utility Icons,attach,1518:28658,icon-assets/exported-svg/Utility Icons/A/attach.svg,primary,visual-required,Searchable and usable after visual verification.
Utility Icons  / A / automate,Utility Icons,automate,1518:28660,icon-assets/exported-svg/Utility Icons/A/automate.svg,primary,visual-required,Searchable and usable after visual verification.
